Section,Part,PRICE,LINK,NOTES,
Pedals,Pedals,$19,https://a.co/d/fyPORov,,
,,,,,
Steering,Tie Rods,$19,https://a.co/d/guhokrl,,
,Steering Column Bearings,$16,https://a.co/d/0qnipDH,,
,Steering Column,$23,https://www.metalsupermarkets.com/product/mild-steel-round-bar-cold-rolled-1045/,,
,Steering Wheel,$21,https://a.co/d/1pnSPYQ,,
,,,,,
Spindles,Spindles,$38,https://a.co/d/5URasgB,,
,,,,,
Wheels,Tires,$36,https://www.harborfreight.com/10-inch-x-3-1-2-half-inch-pneumatic-tire-67465.html?gStoreCode=3598&gQT=1,4x,
,Wheel Hub,$58,https://a.co/d/0Y4S51G,2x,
,,,,,
Rear Axle,Rear Axle Bearings,$16,https://a.co/d/6HbyVYZ,,
,Sprocket,$16,https://www.gopowersports.com/split-sprockets-35/,,
,Sprocket Hub,$28,https://www.gopowersports.com/1-sprocket-carrier-sprocket-hub/#tab-description,,
,Rear Axle Keyed Rod,$74,https://www.mcmaster.com/products/keyed-shafts/keyed-rotary-shafts-5/,,
,Rear Axle Key,$3,https://www.mcmaster.com/products/key-stock/machine-key-stock-1~~/,,
,Brake,$37,https://a.co/d/gRQefmz,,
,,,,,
Engine,Engine,$150,https://www.harborfreight.com/65-hp-212cc-ohv-horizontal-shaft-gas-engine-epa-69730.html%20$150,,
,Clutch,$19,https://a.co/d/7EmMFdI,, 
,Throttle Kit,$26,https://www.gopowersports.com/throttle-kit-79cc-98cc-predator-engine/,,
,,,,,
Framing,Metal 1x1x0.12 Tube,$157,https://www.metalsupermarkets.com/product/mild-steel-square-tube-structural-welded/,"5 x 96""",
,6 sq. ft. of 0.125 Steel Plate,$95,https://www.metalsupermarkets.com/product/mild-steel-sheet-hot-rolled/,,
,Shopping Cart,$2,https://www.facebook.com/marketplace/item/1274992584235045/?ref=search&referral_code=null&referral_story_type=post,,
,,,,,
Other,Various Hardware,$30,,,
,,,,,
,,Subtotal: $883,,,
,,Total: $947,,,
